SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Social Impact Engineering,Sept. ADRC E-News,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",25-08-2020,16:54:00
Social Impact Engineering,BTB Covid-Expansion,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy, Data Collection Tools",Mohammed Fassi,"Survey Design and Data Analysis, Public Outreach and Engagement, Website Programming, Data Collection Tools",26-08-2020,20:23:00
Social Impact Engineering,EI Outreach Flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",31-08-2020,18:25:00
Social Impact Engineering,Essential Express flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Data Collection Tools",24-09-2020,17:28:00
Social Impact Engineering,Aging LTC meeting Sept,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Public Outreach and Engagement",25-09-2020,15:54:00
Social Impact Engineering,MAC_TSOA event,rstillgoe7@seesaa.net,"Social Media Strategy, Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, News Writing and Editing",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Graphic Design, Proofreading and Quality Assurance, News and Media Communication",26-09-2020,01:43:00
Social Impact Engineering,ADR appointment card,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Proofreading and Quality Assurance, Technical Documentation, Graphic Design",29-09-2020,21:57:00
Social Impact Engineering,October 2020 E Newsletter,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Website Programming, Public Outreach and Engagement",29-09-2020,23:06:00
Social Impact Engineering,Affordable Housing Operations Flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Proofreading and Quality Assurance, Graphic Design",02-10-2020,22:13:00
Social Impact Engineering,AHO News Release,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, Writing and Editing, News and Media Communication",02-10-2020,22:14:00
Social Impact Engineering,Mobile Resource Van flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",02-10-2020,22:16:00
Social Impact Engineering,Fall 2020 Employee Newsletter,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Internal and External Communication",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Internal and External Communication, Website Programming",02-10-2020,22:18:00
Social Impact Engineering,AAF Survey,rstillgoe7@seesaa.net,"Internal and External Communication, Event/Open Houses",Mohammed Fassi,"Survey Design and Data Analysis, Internal and External Communication, Event Coordination",07-10-2020,19:49:00
Social Impact Engineering,MRC Webpage,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Video Editing, Website Programming",08-10-2020,18:10:00
Social Impact Engineering,B25 Positions Press Release,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,13-10-2020,01:33:00
Social Impact Engineering,Social Security Benefits,rstillgoe7@seesaa.net,"News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, News and Media Communication, Website Programming",15-10-2020,20:43:00
Social Impact Engineering,SS Benefits 2021,rstillgoe7@seesaa.net,"News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, News and Media Communication, Website Programming, Social Media Strategy",15-10-2020,20:44:00
Social Impact Engineering,Alzheimer's and Driving,rstillgoe7@seesaa.net,"News Writing and Editing, Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Proofreading and Quality Assurance, News and Media Communication",15-10-2020,20:46:00
Social Impact Engineering,Moving Parents Home,rstillgoe7@seesaa.net,"News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Social Media Strategy, Graphic Design, News and Media Communication, Website Programming",15-10-2020,20:47:00
Social Impact Engineering,AAF Our Family,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,Proofreading and Quality Assurance,16-10-2020,23:31:00
Social Impact Engineering,Family Caregiver Month,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Social Media Strategy",22-10-2020,00:13:00
Social Impact Engineering,Community Development Think Tank event,rstillgoe7@seesaa.net,"Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy, Website Programming",22-10-2020,00:17:00
Social Impact Engineering,KBTC ads,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",26-10-2020,16:52:00
Social Impact Engineering,SSHAP website,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Website Programming",26-10-2020,16:54:00
Social Impact Engineering,MRC News Release,rstillgoe7@seesaa.net,"News Writing and Editing, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Public Relations, News and Media Communication, Website Programming",26-10-2020,16:57:00
Social Impact Engineering,LTC meeting + E-News Nov 2020,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",29-10-2020,23:09:00
Social Impact Engineering,Community Think Tanks,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Video Editing and Production",03-11-2020,17:26:00
Social Impact Engineering,October Blog,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Writing and Editing, Website Programming",03-11-2020,20:33:00
Social Impact Engineering,Peach Jar - winter flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",04-11-2020,01:00:00
Social Impact Engineering,TFOR diagram,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",06-11-2020,01:25:00
Social Impact Engineering,Conversations at the Holidays Event,rstillgoe7@seesaa.net,"Social Media Strategy, News Writing and Editing, Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Website Programming, News and Media Communication, Social Media Strategy",12-11-2020,16:56:00
Social Impact Engineering,Home Repair bid webpage,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming",13-11-2020,22:57:00
Social Impact Engineering,Options: Event,rstillgoe7@seesaa.net,"News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Website Programming, News and Media Communication",17-11-2020,00:19:00
Social Impact Engineering,Fantasy Lights video (energy ad),rstillgoe7@seesaa.net,"Video Editing and Production, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Video Editing and Production",23-11-2020,21:43:00
Social Impact Engineering,How To Spoil Your Retirement,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, News Writing and Editing",Mohammed Fassi,"Website Programming, Social Media Strategy, Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, News and Media Communication",24-11-2020,19:41:00
Social Impact Engineering,Aging & LTC - Dec 2020,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,Public Outreach and Engagement,24-11-2020,19:42:00
Social Impact Engineering,ADRC E-news Dec. 2020,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Website Programming",24-11-2020,20:16:00
Social Impact Engineering,2020 Social Media analytics,rstillgoe7@seesaa.net,"Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Technical Writing",Mohammed Fassi,"Social Media Strategy, Graphic Design",01-12-2020,00:14:00
Social Impact Engineering,ADR Advisory Board flyer,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",02-12-2020,18:35:00
Social Impact Engineering,Nov. Blog,rstillgoe7@seesaa.net,"Technical Writing, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Writing and Editing, Proofreading and Quality Assurance",03-12-2020,17:35:00
Social Impact Engineering,Ombudsman Recruitment - social media,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Technical Documentation, Social Media Strategy",03-12-2020,22:13:00
Social Impact Engineering,2021 recruitment video,rstillgoe7@seesaa.net,"Social Media Strategy, Website Programming, Video Editing and Production",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Video Editing and Production, Website Programming, Social Media Strategy",04-12-2020,19:39:00
Social Impact Engineering,Talent Show,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Event/Open Houses, Website Programming, Data Collection Tools",Mohammed Fassi,"Graphic Design, Website Programming, Data Collection Tools, Internal and External Communication",08-12-2020,22:59:00
Social Impact Engineering,Annual ADR survey,rstillgoe7@seesaa.net,"Technical Writing, Internal and External Communication",Mohammed Fassi,"Proofreading and Quality Assurance, Survey Design and Data Analysis, Data Collection Tools",10-12-2020,22:49:00
Social Impact Engineering,FCSP bus ads (part 2),rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",15-12-2020,18:25:00
Social Impact Engineering,Our Family - AAF 2021 roundup,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Internal and External Communication, Graphic Design",16-12-2020,03:27:00
Legal and Compliance Engineering,CARES advertising for ERP,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy, Website Programming, Public Relations",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Social Media Strategy",17-12-2020,18:38:00
Engineering Leadership and Strategy,2021 Anti-Human Trafficking Campaign,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy, Video Editing and Production",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing and Production",18-12-2020,23:57:00
Social Impact Engineering,Update ADRC subscriber lists,rstillgoe7@seesaa.net,"Data Collection Tools, Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Data Collection Tools",19-12-2020,01:08:00
Social Impact Engineering,2021 Winter Employee Newsletter,rstillgoe7@seesaa.net,"Internal and External Communication, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Internal and External Communication",24-12-2020,01:12:00
Social Impact Engineering,ADRC e-news/ALTC agenda,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",30-12-2020,18:13:00
Social Impact Engineering,Veterans CARES survey,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,"Survey Design and Data Analysis, Public Outreach and Engagement, Website Programming",07-01-2021,17:19:00
Social Impact Engineering,Talking to your Doctor - Feb 2021,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), News Writing and Editing, Social Media Strategy, Event/Open Houses",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",11-01-2021,19:40:00
Social Impact Engineering,Funerals - feb 2021,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy, News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy, News and Media Communication",11-01-2021,19:58:00
Social Impact Engineering,Energy Marketing Plan 2021,rstillgoe7@seesaa.net,Communication Planning/Strategy,Mohammed Fassi,"Public Outreach and Engagement, Internal and External Communication",12-01-2021,19:58:00
Social Impact Engineering,B25 Flyer - Tribal Membership,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",13-01-2021,20:53:00
Social Impact Engineering,Homeless Programs webpage,rstillgoe7@seesaa.net,"Website Programming, Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",13-01-2021,22:38:00
Social Impact Engineering,LTCO website,rstillgoe7@seesaa.net,"Website Programming, Communication Planning/Strategy",Mohammed Fassi,Website Programming,21-01-2021,22:00:00
Social Impact Engineering,Community Think Tank Summary Event,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy",22-01-2021,18:45:00
Social Impact Engineering,ADR Board Recruitment  - Ads,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy, Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Social Media Strategy",25-01-2021,21:56:00
Social Impact Engineering,An Ounce of Prevention,rstillgoe7@seesaa.net,"Website Programming, Social Media Strategy, News Writing and Editing",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Social Media Strategy, News and Media Communication, Website Programming",26-01-2021,21:20:00
Social Impact Engineering,Normal Aging vs. Dementia,rstillgoe7@seesaa.net,"Website Programming, News Writing and Editing, Social Media Strategy, Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming, News and Media Communication, Social Media Strategy",26-01-2021,21:21:00
Social Impact Engineering,LTC networking - feb 2021,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,28-01-2021,21:10:00
Social Impact Engineering,ADRC E News - Feb 2021,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,28-01-2021,21:10:00
Social Impact Engineering,LTC flyer update,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",04-02-2021,17:04:00
Social Impact Engineering,Caregiver Conference website set up,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Event/Open Houses, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Event Coordination, Website Programming",04-02-2021,22:40:00
Social Impact Engineering,Recovery Story,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Website Programming, Proofreading and Quality Assurance",05-02-2021,17:24:00
Social Impact Engineering,Social Security Disability,rstillgoe7@seesaa.net,"Event/Open Houses, Social Media Strategy, News Writing and Editing, Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, News and Media Communication, Website Programming, Social Media Strategy",05-02-2021,18:57:00
Social Impact Engineering,PCHS presentation templates,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Graphic Design, Presentation Design",10-02-2021,22:36:00
Social Impact Engineering,Landlord Postcard - RA21,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",16-02-2021,19:06:00
Social Impact Engineering,0-3 child notice form,rstillgoe7@seesaa.net,Data Collection Tools,Mohammed Fassi,"Proofreading and Quality Assurance, Data Collection Tools",17-02-2021,19:13:00
Social Impact Engineering,2021 Rental Assistance flyers,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports)",Mohammed Fassi,"Technical Documentation, Public Outreach and Engagement, Graphic Design",18-02-2021,01:17:00
Social Impact Engineering,Retirement Connection,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",18-02-2021,01:19:00
Social Impact Engineering,PCHS Virtual Guide,rstillgoe7@seesaa.net,"Internal and External Communication, Technical Writing",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance",18-02-2021,22:59:00
Social Impact Engineering,ACAC social media posts,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Communication Planning/Strategy, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Social Media Strategy, Graphic Design",22-02-2021,22:10:00
Social Impact Engineering,2021 PIT results,rstillgoe7@seesaa.net,"Communication Planning/Strategy, Graphic Design/Marketing (Brochures, Posters, Reports), Social Media Strategy",Mohammed Fassi,"Graphic Design, Website Programming",24-02-2021,01:14:00
Social Impact Engineering,Unboxed or Boxed,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming, Social Media Strategy",Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming",01-03-2021,21:24:00
Engineering Leadership and Strategy,Challenge Coin,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Graphic Design,16-11-2017,18:13:00
Financial Analysis and Management,P-Card Intranet Page,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",23-01-2018,17:18:00
Financial Analysis and Management,2018 Wellness Challenge,jbeney8@unesco.org,"Printed Material (Posters, Brochures, Reports)",Rachid Khattabi,"Internal and External Communication, Graphic Design, Website Programming",06-04-2018,21:07:00
Financial Analysis and Management,New email and website addresses for Pierce County starting May 19,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Internal and External Communication,26-04-2018,22:23:00
Partnerships and External Collaboration,Invitation to Municipal Court judge swearing-in ceremony,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Proofreading and Quality Assurance,09-01-2019,23:01:00
Industrial and Systems Engineering,Redesign Economic Development website,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,20-02-2019,19:19:00
Engineering Leadership and Strategy,Executive Department Outreach Material/SWAG,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Technical Documentation",10-05-2019,22:45:00
Technical Communication and Media,Tier 2 Department Dashboard,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,10-05-2019,22:46:00
Urban Planning and Public Infrastructure,Ferry Website Redesign,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,10-05-2019,22:48:00
Social Impact Engineering,Online Point in Time Count Survey,jbeney8@unesco.org,Event Management and Logistics,Rachid Khattabi,"Public Outreach and Engagement, Website Programming",10-05-2019,22:56:00
Financial Analysis and Management,Pierce County Pets Migration to new Site,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",13-05-2019,15:56:00
Youth Outreach and Training,Juvenile Court Referral Form,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Website Programming,13-05-2019,16:02:00
Legal and Compliance Engineering,Superior Court Annual Report Template,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Proofreading and Quality Assurance",16-05-2019,07:01:00
Facilities and Maintenance Engineering,Presentation for Resource Conservation Summit,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Graphic Design, Technical Documentation",16-05-2019,07:03:00
Financial Analysis and Management,Open Pierce County Presentation to Socrata,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,07:04:00
Engineering Leadership and Strategy,Boards and Commissions Portal,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Public Outreach and Engagement, Website Programming, Graphic Design",16-05-2019,07:06:00
Engineering Leadership and Strategy,Pierce County Connect 311 CRM Tool,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, News and Media Communication, Technical Documentation, Website Programming, Social Media Strategy",16-05-2019,07:41:00
Urban Planning and Public Infrastructure,Board of Equalization Update,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,07:42:00
Facilities and Maintenance Engineering,CCB Nollmeyer Security Enhancements,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, Technical Documentation, Video Editing and Production, Website Programming",16-05-2019,07:45:00
Hydraulics and Water Resources Engineering,FCZD Update,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,07:49:00
Safety Engineering and Crisis Management,Combined Communications Network Board Photo,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Video Editing, Website Programming",16-05-2019,07:50:00
Legal and Compliance Engineering,Judge Foley Retirement,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,"Website Programming, News and Media Communication",16-05-2019,07:57:00
Engineering Leadership and Strategy,Public Works Org Chart - Large Format,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Graphic Design,16-05-2019,07:59:00
Academic Affairs and Staff Development,Total Comp Website,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:12:00
Legal and Compliance Engineering,Website Court History Project,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:16:00
Industrial and Systems Engineering,Invest Pierce County Assistance,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming, Social Media Strategy",16-05-2019,08:19:00
Technical Communication and Media,Winter Storm County Closures,jbeney8@unesco.org,Issue and Risk Management,Rachid Khattabi,Website Programming,16-05-2019,08:20:00
Urban Planning and Public Infrastructure,LUACS Update,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:22:00
Technical Communication and Media,SOTC Invite and Communication Materials,jbeney8@unesco.org,Event Management and Logistics,Rachid Khattabi,"Graphic Design, Website Programming",16-05-2019,08:26:00
Academic Affairs and Staff Development,DEI Monthly Report Form,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:28:00
Social Impact Engineering,Caregiver Holiday Ad,jbeney8@unesco.org,Video Editing and Production,Rachid Khattabi,Video Editing and Production,16-05-2019,08:29:00
Social Impact Engineering,Job Recruitment Flyer,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,08:31:00
Urban Planning and Public Infrastructure,911 Addressing Project - Data Restoration,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:33:00
Academic Affairs and Staff Development,Job Announcement Flyer,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,08:36:00
Legal and Compliance Engineering,Superior Court Judge Photos,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Video Editing, Proofreading and Quality Assurance",16-05-2019,08:38:00
Administrative and Procedural Engineering,Redesign District Court Web,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:39:00
Urban Planning and Public Infrastructure,Ferry Tracker and Data Portal,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,08:42:00
Engineering Leadership and Strategy,Headshots,jbeney8@unesco.org,Technical Writing,Rachid Khattabi,Video Editing,16-05-2019,16:42:00
Academic Affairs and Staff Development,Job Recruitment Flyer - Director of Human Services,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,16:43:00
Security Systems Engineering,Retirement Announcement for Julie Williams,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Graphic Design,16-05-2019,16:45:00
Financial Analysis and Management,Sewer Billing Replacement Support,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Website Programming, Graphic Design, Proofreading and Quality Assurance",16-05-2019,16:49:00
Academic Affairs and Staff Development,Internship Program Rack Card,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,16:49:00
Academic Affairs and Staff Development,Employee Feedback Survey Support,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Website Programming,16-05-2019,16:54:00
Academic Affairs and Staff Development,Employee Assistance Banner Design,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,16:58:00
Financial Analysis and Management,Finance Website Updates,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,17:00:00
Safety Engineering and Crisis Management,Volcano Hazard Video,jbeney8@unesco.org,Video Editing and Production,Rachid Khattabi,Video Editing and Production,16-05-2019,17:03:00
Industrial and Systems Engineering,Adobe Spark for Economic Development Newsletter,jbeney8@unesco.org,Website Programming,Rachid Khattabi,"Graphic Design, Website Programming",16-05-2019,17:06:00
Academic Affairs and Staff Development,Job Recruitment for Facilities Deputy Director,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,"Proofreading and Quality Assurance, Graphic Design, Website Programming",16-05-2019,17:07:00
Safety Engineering and Crisis Management,Unified Radio System Logo,jbeney8@unesco.org,"Graphic Design/Marketing (Posters, Brochures, Reports)",Rachid Khattabi,Graphic Design,16-05-2019,17:09:00
Quality Assurance and Risk Management,Retrieval of Data for Public Record,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,17:14:00
Environmental and Civil Engineering,"Parks, Recreation and Open Space Plan",jbeney8@unesco.org,Strategic Planning and Project Management,Rachid Khattabi,"Public Outreach and Engagement, Graphic Design, Proofreading and Quality Assurance, Event Coordination, Technical Documentation, Website Programming, Social Media Strategy, Video Editing and Production",16-05-2019,17:16:00
Technical Communication and Media,Active Volcano Website,jbeney8@unesco.org,Website Programming,Rachid Khattabi,Website Programming,16-05-2019,17:18:00
Academic Affairs and Staff Development,Standing Ovation Award nominations due June 28,jbeney8@unesco.org,Internal and External Communication,Rachid Khattabi,Graphic Design,11-06-2019,18:51:00
